"06515","Malvinas Argentinas",6,"Buenos Aires",2019,23,"Dengue",8,"De 20 a 24 anos",1
"06515","Malvinas Argentinas",6,"Buenos Aires",2019,12,"Dengue",9,"De 25 a 34 anos",1
"06532","Mercedes",6,"Buenos Aires",2019,14,"Dengue",9,"De 25 a 34 anos",1
"06568","Moron",6,"Buenos Aires",2019,17,"Dengue",9,"De 25 a 34 anos",1
"06568","Moron",6,"Buenos Aires",2019,16,"Dengue",10,"De 35 a 44 anos",1
"06568","Moron",6,"Buenos Aires",2019,12,"Dengue",11,"De 45 a 65 anos",1
"06568","Moron",6,"Buenos Aires",2019,16,"Dengue",11,"De 45 a 65 anos",1
"06568","Moron",6,"Buenos Aires",2019,16,"Dengue",12,"Mayores de 65 anos",1
"06623","Pergamino",6,"Buenos Aires",2019,15,"Dengue",9,"De 25 a 34 anos",1
"06623","Pergamino",6,"Buenos Aires",2019,7,"Dengue",11,"De 45 a 65 anos",2
"06760","San Miguel",6,"Buenos Aires",2019,15,"Dengue",10,"De 35 a 44 anos",1
"06791","Tandil",6,"Buenos Aires",2019,18,"Dengue",11,"De 45 a 65 anos",1
"06805","Tigre",6,"Buenos Aires",2019,9,"Dengue",5,"De 5 a 9 anos",1
"06882","Zarate",6,"Buenos Aires",2019,6,"Dengue",10,"De 35 a 44 anos",1
"14014","Capital",14,"Córdoba",2019,19,"Dengue",10,"De 35 a 44 anos",1
"14021","Colon",14,"Córdoba",2019,17,"Dengue",8,"De 20 a 24 anos",1
"14021","Colon",14,"Córdoba",2019,9,"Dengue",11,"De 45 a 65 anos",1
"22036","12 de Octubre",22,"Chaco",2019,21,"Dengue",7,"De 15 a 19 anos",1
"22039","2 de Abril",22,"Chaco",2019,18,"Dengue",4,"De 2 a 4 anos",1
"22105","9 de Julio",22,"Chaco",2019,19,"Dengue",7,"De 15 a 19 anos",1
"22028","Chacabuco",22,"Chaco",2019,15,"Dengue",8,"De 20 a 24 anos",1
"22028","Chacabuco",22,"Chaco",2019,15,"Dengue",9,"De 25 a 34 anos",1
"22028","Chacabuco",22,"Chaco",2019,2,"Dengue",11,"De 45 a 65 anos",1
"22021","Comandante Fernandez",22,"Chaco",2019,25,"Dengue",11,"De 45 a 65 anos",1
"22049","General Belgrano",22,"Chaco",2019,21,"Dengue",10,"De 35 a 44 anos",1
"22063","General Guemes",22,"Chaco",2019,16,"Dengue",6,"De 10 a 14 anos",1
"22063","General Guemes",22,"Chaco",2019,19,"Dengue",6,"De 10 a 14 anos",1
"22063","General Guemes",22,"Chaco",2019,20,"Dengue",6,"De 10 a 14 anos",1
"22063","General Guemes",22,"Chaco",2019,21,"Dengue",6,"De 10 a 14 anos",2
"22063","General Guemes",22,"Chaco",2019,22,"Dengue",6,"De 10 a 14 anos",1
"22063","General Guemes",22,"Chaco",2019,24,"Dengue",6,"De 10 a 14 anos",1
"22063","General Guemes",22,"Chaco",2019,14,"Dengue",7,"De 15 a 19 anos",2
"22063","General Guemes",22,"Chaco",2019,17,"Dengue",7,"De 15 a 19 anos",2
"22063","General Guemes",22,"Chaco",2019,19,"Dengue",7,"De 15 a 19 anos",1
"22063","General Guemes",22,"Chaco",2019,20,"Dengue",7,"De 15 a 19 anos",4
"22063","General Guemes",22,"Chaco",2019,12,"Dengue",4,"De 2 a 4 anos",1
"22063","General Guemes",22,"Chaco",2019,15,"Dengue",8,"De 20 a 24 anos",1
"22063","General Guemes",22,"Chaco",2019,13,"Dengue",8,"De 20 a 24 anos",1
"22063","General Guemes",22,"Chaco",2019,14,"Dengue",8,"De 20 a 24 anos",1
"22063","General Guemes",22,"Chaco",2019,15,"Dengue",8,"De 20 a 24 anos",1
"22063","General Guemes",22,"Chaco",2019,18,"Dengue",8,"De 20 a 24 anos",1
"22063","General Guemes",22,"Chaco",2019,19,"Dengue",8,"De 20 a 24 anos",4
"22063","General Guemes",22,"Chaco",2019,20,"Dengue",8,"De 20 a 24 anos",3
"22063","General Guemes",22,"Chaco",2019,21,"Dengue",8,"De 20 a 24 anos",1
